Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,Combined Force,,,Combined Moment,,,Combined CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
259,4,-0.3573,-8.87586,-724.622,15364,7000.56,-194.777,241.661,232.797,0,-0.3573,-8.87586,-724.622,-169009,176601,-2181.29,241.661,232.797,0
259,5,-0.355521,-8.56454,-725.174,15437.3,6918.34,-193.741,241.54,232.712,0,-0.355521,-8.56454,-725.174,-169062,176648,-2107.85,241.54,232.712,0
259,6,-0.355409,-8.58718,-725.723,15431.6,6892.63,-194.018,241.498,232.736,0,-0.355409,-8.58718,-725.723,-169208,176751,-2113.46,241.498,232.736,0
259,7,-0.35787,-8.59341,-724.661,15640.7,6808.38,-193.348,241.395,232.417,0,-0.35787,-8.59341,-724.661,-168730,176418,-2113.62,241.395,232.417,0
259,8,-0.360606,-8.98157,-725.203,15647.8,6787.59,-194.892,241.36,232.423,0,-0.360606,-8.98157,-725.203,-168877,176524,-2205.31,241.36,232.423,0
259,9,-0.362938,-8.81231,-725.886,15925.3,6714.74,-193.923,241.25,232.061,0,-0.362938,-8.81231,-725.886,-168766,176611,-2164.13,241.25,232.061,0
260,0,-0.362599,-8.877,-724.966,15903.4,6655.14,-194.005,241.18,232.063,0,-0.362599,-8.877,-724.966,-168557,176336,-2179.44,241.18,232.063,0
260,1,-0.362135,-8.93283,-725.057,15854.4,6637.05,-194.362,241.154,232.134,0,-0.362135,-8.93283,-725.057,-168631,176340,-2192.98,241.154,232.134,0
260,2,-0.366273,-9.17461,-725.551,16040.1,6592.07,-194.987,241.086,231.893,0,-0.366273,-9.17461,-725.551,-168582,176410,-2249.14,241.086,231.893,0
260,3,-0.367777,-9.44963,-725.586,16074.6,6466.41,-196.031,240.912,231.846,0,-0.367777,-9.44963,-725.586,-168568,176293,-2314.17,240.912,231.846,0
260,4,-0.368625,-9.42582,-725.217,16154.8,6445.99,-195.68,240.888,231.724,0,-0.368625,-9.42582,-725.217,-168394,176186,-2308.03,240.888,231.724,0
260,5,-0.369022,-9.3239,-725.123,16266,6379.87,-195.104,240.798,231.568,0,-0.369022,-9.3239,-725.123,-168254,176098,-2283.5,240.798,231.568,0
260,6,-0.374746,-9.49453,-724.629,16331.2,6834.97,-194.943,241.432,231.463,0,-0.374746,-9.49453,-724.629,-168071,176438,-2321.82,241.432,231.463,0
260,7,-0.370945,-9.48683,-724.655,16375.2,6270.49,-195.417,240.653,231.403,0,-0.370945,-9.48683,-724.655,-168033,175879,-2321.46,240.653,231.403,0
260,8,-0.368017,-8.9977,-724.844,16455.9,6191.27,-193.624,240.542,231.297,0,-0.368017,-8.9977,-724.844,-167979,175844,-2205.93,240.542,231.297,0
260,9,-0.371332,-9.38624,-725.707,16491.1,6190.36,-195.175,240.53,231.276,0,-0.371332,-9.38624,-725.707,-168180,176045,-2297.58,240.53,231.276,0
261,0,-0.375445,-9.96936,-724.314,16549.9,6073.09,-196.85,240.385,231.151,0,-0.375445,-9.96936,-724.314,-167793,175602,-2434.68,240.385,231.151,0
261,1,-0.375089,-9.95705,-724.585,16582.6,5976.12,-196.91,240.248,231.114,0,-0.375089,-9.95705,-724.585,-167829,175569,-2431.94,240.248,231.114,0
261,2,-0.374361,-9.82146,-723.439,16625.1,5929.22,-196.053,240.196,231.019,0,-0.374361,-9.82146,-723.439,-167489,175254,-2399.54,240.196,231.019,0
261,3,-0.37584,-9.85305,-715.411,16738.7,5891.55,-193.666,240.235,230.603,0,-0.37584,-9.85305,-715.411,-165339,173337,-2404.17,240.235,230.603,0
261,4,-0.375907,-9.93363,-719.438,16781.9,5735.29,-195.162,239.972,230.674,0,-0.375907,-9.93363,-719.438,-166322,174123,-2424.51,239.972,230.674,0
261,5,-0.374605,-9.91622,-723.471,16745.6,5644.52,-196.424,239.802,230.854,0,-0.374605,-9.91622,-723.471,-167381,174976,-2422.03,239.802,230.854,0
261,6,-0.376214,-9.94901,-723.515,16823.8,5672.48,-196.345,239.84,230.747,0,-0.376214,-9.94901,-723.515,-167316,175015,-2429.21,239.84,230.747,0
261,7,-0.377821,-9.96121,-725.072,16921.6,5678.54,-196.6,239.832,230.662,0,-0.377821,-9.96121,-725.072,-167614,175385,-2431.91,239.832,230.662,0
261,8,-0.378009,-10.159,-726.846,16977.6,5410.54,-197.964,239.444,230.642,0,-0.378009,-10.159,-726.846,-168017,175533,-2479.52,239.444,230.642,0
261,9,-0.37874,-10.354,-723.678,16950,5383.91,-197.852,239.44,230.578,0,-0.37874,-10.354,-723.678,-167249,174764,-2524.87,239.44,230.578,0
262,0,-0.37782,-10.1271,-721.613,17056.5,5277.01,-196.324,239.313,230.363,0,-0.37782,-10.1271,-721.613,-166608,174174,-2470.46,239.313,230.363,0
