Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
18,3,-0.533839,-3.45425,-713.629,9460.92,45887.5,-144.814,296.302,240.743,0
18,4,-0.534053,-3.35916,-712.839,9654.71,45636.4,-144.071,296.021,240.456,0
18,5,-0.533457,-3.39207,-713.202,9638.98,45558.6,-144.409,295.879,240.485,0
18,6,-0.532138,-3.24982,-714.809,9635.71,45523,-144.403,295.686,240.52,0
18,7,-0.529288,-3.48412,-712.997,9622.59,44970.1,-145.338,295.072,240.504,0
18,8,-0.532384,-3.38957,-712.739,9642.9,45416.8,-144.41,295.721,240.471,0
18,9,-0.532462,-3.44577,-713.06,9617.32,45422.9,-144.753,295.701,240.513,0
19,0,-0.533139,-3.53232,-712.322,9650.6,45368.5,-144.834,295.691,240.452,0
19,1,-0.534736,-3.65386,-712.41,9696.91,45373.5,-145.181,295.69,240.389,0
19,2,-0.531565,-3.50763,-711.538,9627.42,45234.8,-144.718,295.573,240.47,0
19,3,-0.531143,-3.32205,-712.829,9640.56,45323.8,-144.298,295.583,240.476,0
19,4,-0.53194,-3.48815,-712.322,9605.63,45340.6,-144.809,295.652,240.515,0
19,5,-0.52836,-3.77868,-712.412,9275.66,45239.6,-146.735,295.502,240.98,0
19,6,-0.536257,-4.02594,-710.928,9717.44,45190.5,-146.235,295.565,240.331,0
19,7,-0.536761,-4.31546,-711.657,9630.64,45152,-147.714,295.446,240.467,0
19,8,-0.534816,-3.58722,-712.046,9713.83,45413.9,-144.758,295.78,240.358,0
19,9,-0.534377,-3.6517,-711.948,9724.39,45278.3,-145.08,295.598,240.341,0
20,0,-0.5289,-3.69799,-711.858,9395.13,45157.6,-146.102,295.436,240.802,0
20,1,-0.532067,-3.64991,-711.805,9662.81,45100.6,-145.362,295.361,240.425,0
20,2,-0.565968,-8.58087,-712.347,9592.33,45046.8,-163.332,295.237,240.534,0
20,3,-0.541496,-3.74025,-711.701,9706.67,46145,-144.452,296.838,240.361,0
20,4,-0.53273,-3.82527,-710.792,9650.36,45050,-145.782,295.38,240.423,0
20,5,-0.533517,-3.63834,-711.302,9728.92,45173,-144.95,295.507,240.322,0
20,6,-0.580995,-11.7362,-710.264,9220.9,44781.1,-175.134,295.049,241.018,0
20,7,-0.537357,-3.76662,-711.107,9988.88,45054.9,-144.88,295.359,239.953,0
20,8,-0.532903,-3.9571,-711.243,9662.94,44926,-146.482,295.165,240.414,0
20,9,-0.532371,-3.82286,-710.877,9705.67,44900.9,-145.828,295.163,240.347,0
21,0,-0.530829,-3.67907,-710.24,9651.09,44940.3,-145.218,295.275,240.412,0
21,1,-0.53199,-3.84601,-711.153,9662.82,44911.5,-146.076,295.153,240.412,0
21,2,-0.530586,-3.8229,-711.242,9635.22,44804.7,-146.195,294.995,240.453,0
21,3,-0.531106,-3.72283,-710.558,9677.03,44885.6,-145.462,295.17,240.381,0
21,4,-0.533467,-3.79421,-711.163,9647.75,45177.5,-145.648,295.526,240.434,0
21,5,-0.531933,-3.83247,-710.507,9709.47,44829.4,-145.824,295.095,240.334,0
21,6,-0.537284,-4.5643,-711.637,9739.6,44783.3,-148.736,294.93,240.314,0
21,7,-0.529824,-3.89071,-710.375,9506.69,44890.2,-146.395,295.192,240.617,0
21,8,-0.529727,-3.69854,-710.324,9672.54,44740,-145.473,294.985,240.383,0
21,9,-0.531019,-3.64536,-710.377,9689.75,44922.1,-145.067,295.237,240.36,0
22,0,-0.531698,-3.8987,-710.871,9697.08,44761,-146.264,294.967,240.359,0
22,1,-0.531387,-3.92105,-710.459,9654.19,44782.8,-146.302,295.034,240.411,0
22,2,-0.529861,-3.69453,-709.218,9751.14,44614,-145.097,294.906,240.251,0
22,3,-0.542659,-3.90489,-709.858,10304.6,45011.7,-144.34,295.409,239.484,0
22,4,-0.531605,-3.85323,-710.138,9712.84,44762.6,-145.856,295.034,240.323,0
22,5,-0.531592,-3.86377,-710.319,9730.86,44716.7,-145.952,294.953,240.301,0
22,6,-0.519952,-2.01562,-711.916,9808.54,44772.6,-139.572,294.89,240.222,0
22,7,-0.532163,-3.9047,-701.555,9820.12,44601.5,-143.527,295.575,240.002,0
22,8,-0.532493,-3.9837,-709.672,9762.77,44662.7,-146.18,294.934,240.243,0
22,9,-0.531384,-3.84083,-710.181,9745.6,44683.4,-145.832,294.918,240.277,0
23,0,-0.531224,-3.84033,-709.997,9745.48,44664,-145.799,294.907,240.274,0
23,1,-0.53074,-3.78623,-710.778,9733.94,44671.8,-145.846,294.849,240.305,0
23,2,-0.535977,-3.84367,-710.418,9887.25,45001.1,-145.249,295.345,240.083,0
23,3,-0.540959,-3.97832,-709.891,10318.6,44699.3,-144.91,294.966,239.465,0
23,4,-0.528087,-3.85399,-710.458,9539.54,44638.5,-146.478,294.831,240.573,0
23,5,-0.532212,-3.88428,-710.452,9804.26,44637.7,-145.978,294.83,240.2,0
23,6,-0.533092,-3.85932,-710.035,9916.8,44561,-145.593,294.759,240.033,0
23,7,-0.530477,-3.96273,-688.801,9790.83,44414.4,-140.378,296.481,239.786,0
23,8,-0.529341,-3.71483,-692.982,9783.8,44501.2,-140.605,296.217,239.882,0
23,9,-0.530404,-3.85237,-711.689,9740.06,44554.3,-146.45,294.604,240.314,0
24,0,-0.532045,-4.08283,-710.171,9744.11,44548.3,-146.839,294.729,240.279,0
24,1,-0.533109,-4.02606,-709.987,9844.43,44547.2,-146.355,294.744,240.134,0
24,2,-0.5302,-3.8616,-707.225,9923.43,44181,-145.189,294.471,239.969,0
24,3,-0.532901,-3.95768,-710.623,9935.33,44409.5,-146.229,294.494,240.019,0
24,4,-0.528521,-3.92218,-698.068,9645.26,44457.2,-143.153,295.686,240.183,0
24,5,-0.531864,-4.02549,-710.213,9811.31,44450.3,-146.596,294.587,240.185,0
24,6,-0.533847,-4.4482,-711.077,9747.11,44435.7,-148.512,294.491,240.292,0
24,7,-0.536569,-4.1949,-710.036,9875.97,44776,-146.658,295.062,240.091,0
24,8,-0.531918,-3.99106,-709.846,9845.21,44425.3,-146.317,294.584,240.131,0
24,9,-0.532692,-3.99119,-709.618,9868.79,44480.3,-146.141,294.682,240.093,0
25,0,-0.531544,-3.88117,-710.261,9854.72,44459.5,-145.985,294.596,240.125,0
25,1,-0.53084,-3.77002,-710.126,9863.97,44454.2,-145.534,294.6,240.11,0
25,2,-0.537279,-4.05536,-710.527,10160.1,44455.2,-145.986,294.567,239.701,0
25,3,-0.525149,-4.1076,-710.402,9350.26,44387.2,-148.067,294.482,240.838,0
25,4,-0.532308,-3.93486,-710.302,9922.06,44380.2,-146.117,294.481,240.031,0
25,5,-0.534552,-3.97798,-709.705,10023.1,44438.2,-145.809,294.615,239.877,0
25,6,-0.540531,-5.11001,-708.863,9836.2,44520.3,-149.952,294.805,240.124,0
25,7,-0.531962,-4.0312,-716.259,9881.52,44311.4,-148.318,293.865,240.204,0
25,8,-0.536456,-3.98963,-711.215,10148.9,44430,-145.999,294.47,239.73,0
25,9,-0.531225,-4.12998,-710.378,9930.79,44044.8,-147.169,294.002,240.02,0
26,0,-0.535498,-4.27799,-710.523,9973.11,44376.6,-147.291,294.456,239.964,0
26,1,-0.533578,-3.92191,-710.207,10034.4,44342.2,-145.827,294.436,239.871,0
26,2,-0.537095,-4.07992,-708.932,10015.4,44687,-145.708,295.034,239.873,0
26,3,-0.542447,-4.02796,-711.019,10576.2,44353.3,-145.181,294.38,239.125,0
26,4,-0.533269,-4.02212,-710.617,9988.04,44297.4,-146.454,294.337,239.945,0
26,5,-0.535534,-4.26599,-710.43,10001.4,44338.8,-147.197,294.411,239.922,0
26,6,-0.53523,-4.22964,-709.052,10034.9,44272.4,-146.669,294.439,239.847,0
26,7,-0.536256,-4.20033,-710.891,10051.2,44396.5,-146.918,294.452,239.861,0
26,8,-0.539343,-4.11668,-710.22,10057.1,44860.1,-145.927,295.164,239.84,0
26,9,-0.536348,-4.19873,-711.161,10111.4,44294.8,-146.959,294.285,239.782,0
27,0,-0.538581,-4.57376,-710.921,10127.9,44205.4,-148.285,294.181,239.754,0
27,1,-0.534136,-3.89935,-711.258,10119.1,44271.5,-145.924,294.244,239.773,0
27,2,-0.53771,-4.20805,-709.603,10162.5,44367.6,-146.356,294.525,239.679,0
27,3,-0.540863,-4.31622,-711.013,10400.1,44218.8,-146.754,294.191,239.373,0
27,4,-0.53641,-4.24241,-711.433,10128,44230.6,-147.221,294.171,239.764,0
27,5,-0.537815,-4.27271,-710.329,10224.3,44202.5,-146.825,294.228,239.606,0
27,6,-0.504567,0.633676,-712.718,10359.4,44188.7,-129.698,294,239.465,0
27,7,-0.539539,-4.20397,-718.487,10387.3,44160.5,-148.566,293.463,239.543,0
27,8,-0.539202,-4.48347,-710.325,10210.9,44212,-147.597,294.242,239.625,0
27,9,-0.539313,-4.45115,-711.608,10249.7,44179.8,-147.79,294.084,239.596,0
28,0,-0.537569,-4.37153,-710.964,10229,44069.8,-147.487,293.986,239.613,0
28,1,-0.537986,-4.32836,-711.105,10235.9,44149.7,-147.273,294.086,239.606,0
28,2,-0.502235,0.857026,-711.666,10335.5,44142.3,-128.706,294.027,239.477,0
28,3,-0.535122,-4.16348,-711.614,10140,44114.6,-147.086,293.992,239.751,0
28,4,-0.537432,-4.26129,-711.562,10266.4,44081.4,-147.165,293.95,239.572,0
28,5,-0.534697,-3.8289,-711.479,10289.1,44085.3,-145.542,293.963,239.538,0
28,6,-0.501748,-4.38811,-711.61,7801.75,44061.1,-153.307,293.918,243.037,0
28,7,-0.53819,-4.31684,-711.79,10287.5,44087,-147.374,293.938,239.547,0
28,8,-0.545299,-4.50112,-712.053,10681.2,44082.4,-147.208,293.909,238.999,0
28,9,-0.538128,-4.34996,-712.154,10290.6,44041.8,-147.636,293.843,239.55,0
29,0,-0.537753,-4.46026,-712.47,10262.2,43945.3,-148.286,293.68,239.596,0
29,1,-0.53776,-4.49362,-712.196,10237.5,43963,-148.366,293.729,239.625,0
